longitude,latitude,attacktype1_txt
23.736463,37.986447,Armed Assault
23.736655,37.986472,Armed Assault
2.305372,48.864461,Facility/Infrastructure Attack
46.735355,42.430031,Hostage Taking (Barricade Incident)
22.943375,40.639619,Facility/Infrastructure Attack
4.690093,51.813298,Armed Assault
4.690093,51.813298,Facility/Infrastructure Attack
-6.47212,54.502991,Facility/Infrastructure Attack
47.561069,42.65556,Bombing/Explosion
-2.004153,52.573548,Armed Assault
22.802762,37.567694,Bombing/Explosion
-5.80974,54.726403,Armed Assault
2.96894,43.287706,Facility/Infrastructure Attack
-4.142656,50.375457,Facility/Infrastructure Attack
-6.406051,53.998336,Bombing/Explosion
1.296504,52.63616,Facility/Infrastructure Attack
-7.336728,55.028434,Bombing/Explosion
-6.041971,54.555829,Armed Assault
-5.959951,54.602773,Armed Assault
-7.345245,55.002435,Unarmed Assault
-5.991789,54.984562,Bombing/Explosion
-6.253295,55.205289,Facility/Infrastructure Attack
7.255833,43.693611,Armed Assault
9.97061,49.75611,Armed Assault
30.5234,50.4501,Hostage Taking (Kidnapping)
3.119836,43.358381,Facility/Infrastructure Attack
30.5234,50.4501,Assassination
0.552781,52.646771,Hostage Taking (Kidnapping)
11.531643,48.183329,Armed Assault
-5.905213,54.549835,Facility/Infrastructure Attack
-6.471235,55.123188,Facility/Infrastructure Attack
-6.220556,54.620121,Bombing/Explosion
10.583333,49.3,Bombing/Explosion
-5.905213,54.549835,Facility/Infrastructure Attack
5.98111,52.212656,Facility/Infrastructure Attack
6.155584,52.266075,Facility/Infrastructure Attack
1.106722,49.382753,Hostage Taking (Barricade Incident)
-5.982308,54.581308,Bombing/Explosion
1.33071,43.461574,Facility/Infrastructure Attack
23.746453,37.952591,Assassination
23.736655,37.986472,Armed Assault
23.708818,37.967914,Facility/Infrastructure Attack
22.952974,40.582662,Facility/Infrastructure Attack
37.931012,47.351321,Armed Assault
37.931012,47.351321,Hostage Taking (Kidnapping)
-6.414757,54.356105,Facility/Infrastructure Attack
-6.048371,54.510397,Bombing/Explosion
37.50403,47.942286,Armed Assault
22.943016,40.638558,Facility/Infrastructure Attack
23.742996,37.977972,Armed Assault
-8.094814,54.480077,Armed Assault
-0.759117,51.260222,Hostage Taking (Kidnapping)
13.371027,52.516601,Facility/Infrastructure Attack
21.165503,42.662914,Bombing/Explosion
39.307815,48.574041,Assassination
4.446295,50.411175,Armed Assault
-5.926432,54.612609,Bombing/Explosion
24.089831,49.902114,Bombing/Explosion
23.731427,37.981376,Facility/Infrastructure Attack
47.067535,42.499171,Bombing/Explosion
34.613357,48.523449,Bombing/Explosion
21.156205,42.65182,Bombing/Explosion
46.500538,42.468023,Assassination
47.06412,42.503192,Bombing/Explosion
47.875381,42.568499,Armed Assault
-7.326336,54.996453,Armed Assault
14.035761,48.169111,Facility/Infrastructure Attack
-6.523941,53.36275,Bombing/Explosion
-6.531751,54.683473,Facility/Infrastructure Attack
-7.328156,54.994216,Bombing/Explosion
37.968052,55.798251,Armed Assault
19.484994,40.464987,Hostage Taking (Kidnapping)
-7.324755,54.995591,Facility/Infrastructure Attack
7.752111,48.573405,Armed Assault
21.165503,42.662914,Bombing/Explosion
23.728905,37.982144,Facility/Infrastructure Attack
-5.936324,54.616376,Bombing/Explosion
14.437801,50.075538,Assassination
39.369118,48.084844,Bombing/Explosion
21.165503,42.662914,Assassination
4.353947,50.849629,Facility/Infrastructure Attack
44.849266,43.148131,Bombing/Explosion
1.448895,43.604935,Armed Assault
12.60862,55.676217,Armed Assault
30.491423,50.450036,Armed Assault
2.349902,48.852968,Armed Assault
-6.454006,54.420541,Bombing/Explosion
17.113686,48.156876,Unarmed Assault
24.710165,48.922555,Facility/Infrastructure Attack
11.627624,52.120533,Facility/Infrastructure Attack
48.346253,41.616858,Armed Assault
38.224958,45.185401,Armed Assault
-1.577787,42.026548,Facility/Infrastructure Attack
26.251617,50.6199,Bombing/Explosion
12.373075,51.339696000000004,Facility/Infrastructure Attack
30.471797,50.433604,Bombing/Explosion
9.895314,48.328574,Armed Assault
-3.187182,55.945538,Facility/Infrastructure Attack
25.325383,50.747233,Bombing/Explosion
-5.816376,54.855819,Facility/Infrastructure Attack
-5.815518,54.855784,Facility/Infrastructure Attack
19.063486,47.505298,Bombing/Explosion
48.227738,41.833053,Armed Assault
9.797325,50.969394,Facility/Infrastructure Attack
11.97456,57.70887,Bombing/Explosion
13.684018,51.054865,Bombing/Explosion
13.730984,51.058374,Bombing/Explosion
-7.282303,55.004361,Bombing/Explosion
83.769783,53.354779,Unarmed Assault
46.822528,43.667663,Armed Assault
11.979695,51.750742,Facility/Infrastructure Attack
9.991065,53.838578,Unarmed Assault
34.394815,47.56746,Bombing/Explosion
